Delivery,Norwegian,English
Legemiddel_ATCkode_Niva5,atckode5,atcCode5
Legemiddel_ATCkode_Niva4,atckode4,atcCode4
Lopenummer_NPR,lopenr,IID
Pasient_DodsarManed,dodsarmaned,deceased_yearmonth
Pasient_Fodselsar,faar,birthYear
Pasient_Kjonn_Verdi,kjonn,sex
Refusjon_Hjemmel_Verdi,hjemmel,
Refusjon_ICD10kode_Verdi,refICD10,
Refusjon_ICPC2kode_Verdi,refICPC2,
Refusjon_Refusjonspunkt_Verdi,refPunkt_verdi,
Refusjon_Refusjonspunkt_Beskrivelse,refPunkt_beskr,
Rekvirent_Lopenummer,rekvirent_lopenr,
Rekvirent_KjentIdentitet,rekvirent_kjent,
Utlevering_AntallPakninger,utlevantpakninger,
Utlevering_Dato,utlevdato,dateDelivery
Utlevering_DDD,utlevDDD,DDD
Utlevering_Resepttype_Beskrivelse,resepttype_beskr,
Utlevering_Resepttype_Verdi,resepttype_verdi,
Utlevering_Utleveringstype_Verdi,utlevtype_verdi,
Vare_DDD_Enhet,dddenhet,DDD_unit
Vare_DDD_Verdi,dddverdi,DDD_value
Vare_Pakningsstorrelse,pakningsstorrelse,packageSize
Vare_Pakningsstorrelse_Enhet,pakningsstorrelse_enhet,packageSize_unit
Vare_Preparattype_Verdi,preparattype,
Vare_Registreringstype_Verdi,registreringstype,
Vare_Reseptgruppe_Verdi,reseptgruppe,
Vare_Statistikkfaktor,statistikkfaktor,
Vare_Styrke_Samlet,styrke_samlet,
Vare_Varegruppe_Verdi,varegruppe,
Vare_Varenavn,varenavn,
Vare_Varenummer,varenummer,
